,races,ages,sexes,lowers,uppers
0,African-American,all,all,0.00990378402911364,0.100508215087635
1,Hispanic,all,all,-0.19591028204044472,0.13041200344128376
2,all,25 - 45,all,-0.008980577264749039,0.08789098394610351
3,all,Greater than 45,all,-0.11183749011441194,0.11768955216566637
4,all,Less than 25,all,-0.025990790538048605,0.10568239556289215
5,all,all,Female,-0.16584606332959914,0.011757965803930223
6,all,all,Male,0.018626004091819255,0.09986519507335173
7,African-American,25 - 45,all,-0.003672350390886578,0.1137477238040858
8,African-American,Greater than 45,all,-0.12399196906273732,0.1640242884806648
9,African-American,Less than 25,all,-0.013974568684300914,0.14991465059899775
10,Hispanic,25 - 45,all,-0.23731111831440302,0.21934580059440625
11,Hispanic,Greater than 45,Male,-2.4899771390995147,2.353600921443099
12,Hispanic,Less than 25,all,-0.3019122343928022,0.20255188796932105
13,African-American,all,Female,-0.19262705203898095,0.042320994426213426
14,African-American,all,Male,0.029059467696587564,0.12725957990995782
16,Hispanic,all,Female,-4.911459326804076,4.973393857976767
17,Hispanic,all,Male,-0.20065361953272284,0.1340835127345865
18,all,25 - 45,Female,-0.14669385844593125,0.08782348546374472
19,all,25 - 45,Male,0.0006506144026804037,0.10702102334818966
20,all,Greater than 45,Female,-0.41418085992591236,0.23162954814643616
21,all,Greater than 45,Male,-0.10581496756269645,0.13974446253923728
22,all,Less than 25,Female,-0.2999876033055714,-0.00014174475833061972
23,all,Less than 25,Male,0.012240315998093484,0.1588010739990498
24,African-American,25 - 45,Female,-0.21325014855879693,0.09798629298327546
25,African-American,25 - 45,Male,0.010569282254262097,0.13735865468650033
26,African-American,Greater than 45,Female,-0.8941872930901554,0.7817912745716484
27,African-American,Greater than 45,Male,-0.12250017307912264,0.1800757496073007
28,African-American,Less than 25,Female,-0.29643955043830617,0.09104669440510316
29,African-American,Less than 25,Male,0.015082013230284838,0.19594510372662718
32,Hispanic,25 - 45,Female,-26.540933729458207,27.276600276570825
33,Hispanic,25 - 45,Male,-0.24579113903374164,0.22068748241100894
35,Hispanic,Greater than 45,Male,-2.4899771390995147,2.353600921443099
36,Hispanic,Less than 25,Female,-15.064512291785762,15.207850586605575
37,Hispanic,Less than 25,Male,-0.3077425606146071,0.21474378534504218
